idade,profissao,estadoCivil,formacao,default,renda,Residencia,emprestimo,contato,dia,mes,duracao,companhia,pdias,antecedentec,saques,deposito
60,aposentado,casado,primário,não,1542,sim,não,desconhecido,14,maio,930,1,-1,0,desconhecido,sim
40,técnico,solteiro,desconhecido,não,3652,sim,não,desconhecido,14,maio,1028,2,-1,0,desconhecido,sim
57,técnico,casado,terciário,não,-1,não,no,desconhecido,14,maio,850,2,-1,0,desconhecido,sim
51,engravatado,casado,secundário,não,7180,sim,não,desconhecido,14,maio,927,1,-1,0,desconhecido,sim
41,engravatado,divorciado,secundário,não,5291,sim,não,desconhecido,14,maio,1423,3,-1,0,desconhecido,sim
41,engravatado,casado,secundário,não,1384,sim,não,desconhecido,15,maio,1162,4,-1,0,desconhecido,sim
52,engravatado,divorciado,primário,não,-191,sim,não,desconhecido,15,maio,755,1,-1,0,desconhecido,sim
59,engravatado,casado,primário,não,320,sim,não,desconhecido,15,maio,695,1,-1,0,desconhecido,sim
44,engravatado,casado,desconhecido,não,146,sim,não,desconhecido,15,maio,483,1,-1,0,desconhecido,sim
49,desconhecido,casado,primário,não,341,sim,sim,desconhecido,15,maio,520,2,-1,0,desconhecido,sim
40,serviços,casado,primário,não,-9,sim,não,desconhecido,15,maio,920,2,-1,0,desconhecido,sim
41,administrador,casado,primário,não,-306,sim,não,desconhecido,15,maio,500,1,-1,0,desconhecido,sim
44,técnico,casado,terciário,não,4580,sim,não,desconhecido,15,maio,911,2,-1,0,desconhecido,sim
60,serviços,solteiro,primário,não,313,sim,não,desconhecido,15,maio,920,2,-1,0,desconhecido,sim
29,gerente,casado,terciário,não,10576,não,no,desconhecido,15,maio,1224,2,-1,0,desconhecido,sim
41,aposentado,divorciado,primário,não,-233,sim,não,desconhecido,15,maio,1156,2,-1,0,desconhecido,sim
41,engravatado,casado,primário,não,2453,sim,não,desconhecido,15,maio,1052,1,-1,0,desconhecido,sim
42,técnico,solteiro,secundário,não,1364,sim,não,desconhecido,15,maio,1867,6,-1,0,desconhecido,sim
36,serviços,solteiro,desconhecido,não,281,sim,não,desconhecido,16,maio,515,1,-1,0,desconhecido,sim
39,técnico,casado,terciário,não,94,sim,sim,desconhecido,16,maio,813,1,-1,0,desconhecido,sim
31,empresario,solteiro,terciário,não,144,sim,não,desconhecido,16,maio,676,1,-1,0,desconhecido,sim
26,engravatado,casado,secundário,não,246,sim,não,desconhecido,16,maio,1143,3,-1,0,desconhecido,sim
31,engravatado,casado,secundário,não,92,sim,não,desconhecido,16,maio,688,1,-1,0,desconhecido,sim
29,administrador,solteiro,secundário,não,163,sim,sim,desconhecido,16,maio,803,1,-1,0,desconhecido,sim
37,serviços,divorciado,secundário,não,49,sim,não,desconhecido,16,maio,619,2,-1,0,desconhecido,sim
33,engravatado,solteiro,secundário,não,-416,sim,não,desconhecido,16,maio,767,2,-1,0,desconhecido,sim
24,técnico,solteiro,secundário,não,409,sim,não,desconhecido,16,maio,912,1,-1,0,desconhecido,sim
50,administrador,divorciado,secundário,não,363,sim,não,desconhecido,16,maio,1340,1,-1,0,desconhecido,sim
27,técnico,solteiro,terciário,não,3706,sim,não,desconhecido,16,maio,897,1,-1,0,desconhecido,sim
54,gerente,solteiro,terciário,não,4393,sim,não,desconhecido,16,maio,1297,3,-1,0,desconhecido,sim
30,técnico,solteiro,secundário,não,863,sim,não,desconhecido,16,maio,1193,5,-1,0,desconhecido,sim
34,engravatado,casado,primário,não,695,sim,sim,desconhecido,16,maio,1064,4,-1,0,desconhecido,sim
37,gerente,solteiro,secundário,não,792,sim,não,desconhecido,16,maio,1187,4,-1,0,desconhecido,sim
41,administrador,solteiro,secundário,não,1020,sim,não,desconhecido,19,maio,882,1,-1,0,desconhecido,sim
47,engravatado,casado,secundário,não,863,sim,não,desconhecido,19,maio,943,2,-1,0,desconhecido,sim
31,administrador,casado,secundário,não,97,sim,não,desconhecido,19,maio,607,1,-1,0,desconhecido,sim
31,engravatado,casado,secundário,não,754,sim,não,desconhecido,19,maio,1022,4,-1,0,desconhecido,sim
43,serviços,divorciado,secundário,não,1040,sim,não,desconhecido,19,maio,552,3,-1,0,desconhecido,sim
37,gerente,divorciado,terciário,não,122,sim,não,desconhecido,19,maio,1622,2,-1,0,desconhecido,sim
30,técnico,solteiro,terciário,não,880,sim,sim,desconhecido,19,maio,967,6,-1,0,desconhecido,sim
41,técnico,casado,secundário,não,501,sim,não,desconhecido,19,maio,579,5,-1,0,desconhecido,sim
36,engravatado,casado,secundário,não,4438,sim,não,desconhecido,20,maio,446,1,-1,0,desconhecido,sim
35,engravatado,divorciado,secundário,não,0,sim,não,desconhecido,20,maio,1205,1,-1,0,desconhecido,sim
29,serviços,solteiro,secundário,não,271,sim,não,desconhecido,20,maio,1882,2,-1,0,desconhecido,sim
35,engravatado,casado,primário,não,102,sim,não,desconhecido,20,maio,1334,1,-1,0,desconhecido,sim
31,engravatado,casado,secundário,não,2,sim,não,desconhecido,20,maio,182,2,-1,0,desconhecido,sim
35,serviços,casado,secundário,não,4170,sim,não,desconhecido,20,maio,1777,1,-1,0,desconhecido,sim
34,técnico,solteiro,secundário,não,85,sim,não,desconhecido,20,maio,1182,4,-1,0,desconhecido,sim
31,administrador,solteiro,secundário,não,431,sim,sim,desconhecido,20,maio,1045,1,-1,0,desconhecido,sim
44,técnico,divorciado,secundário,não,982,sim,não,desconhecido,20,maio,650,3,-1,0,desconhecido,sim
36,engravatado,casado,primário,não,408,sim,sim,desconhecido,20,maio,1063,2,-1,0,desconhecido,sim
35,engravatado,casado,desconhecido,não,4822,sim,não,desconhecido,20,maio,843,2,-1,0,desconhecido,sim
41,engravatado,casado,primário,não,1250,sim,não,desconhecido,20,maio,1392,2,-1,0,desconhecido,sim
31,engravatado,solteiro,primário,não,216,sim,não,desconhecido,21,maio,565,1,-1,0,desconhecido,sim
34,engravatado,casado,secundário,não,1207,sim,não,desconhecido,21,maio,905,1,-1,0,desconhecido,sim
32,técnico,casado,secundário,não,791,sim,não,desconhecido,21,maio,783,2,-1,0,desconhecido,sim
36,gerente,casado,terciário,não,849,sim,sim,desconhecido,21,maio,958,2,-1,0,desconhecido,sim
30,engravatado,solteiro,secundário,sim,239,sim,não,desconhecido,21,maio,412,1,-1,0,desconhecido,sim
37,técnico,solteiro,secundário,não,1211,sim,não,desconhecido,21,maio,795,1,-1,0,desconhecido,sim
36,engravatado,casado,primário,não,599,sim,não,desconhecido,21,maio,649,2,-1,0,desconhecido,sim
31,gerente,solteiro,terciário,não,825,sim,não,desconhecido,21,maio,506,2,-1,0,desconhecido,sim
27,técnico,casado,secundário,não,2183,sim,sim,desconhecido,21,maio,857,1,-1,0,desconhecido,sim
34,aposentado,casado,primário,não,4499,não,no,desconhecido,21,maio,1681,1,-1,0,desconhecido,sim
30,técnico,solteiro,terciário,não,1289,sim,não,desconhecido,21,maio,1697,2,-1,0,desconhecido,sim
32,técnico,solteiro,terciário,não,4665,sim,não,desconhecido,21,maio,860,2,-1,0,desconhecido,sim
37,técnico,solteiro,secundário,não,3326,sim,não,desconhecido,21,maio,799,1,-1,0,desconhecido,sim
32,engravatado,casado,secundário,não,783,sim,não,desconhecido,21,maio,923,3,-1,0,desconhecido,sim
33,engravatado,casado,secundário,não,0,sim,não,desconhecido,21,maio,521,3,-1,0,desconhecido,sim
35,engravatado,casado,primário,não,994,sim,não,desconhecido,23,maio,1349,8,-1,0,desconhecido,sim
35,empresario,divorciado,terciário,não,1354,sim,não,desconhecido,23,maio,736,2,-1,0,desconhecido,sim
30,engravatado,solteiro,secundário,não,239,sim,não,desconhecido,23,maio,785,1,-1,0,desconhecido,sim
45,engravatado,divorciado,primário,não,-311,sim,não,desconhecido,23,maio,1030,1,-1,0,desconhecido,sim
45,administrador,casado,secundário,não,149,sim,não,desconhecido,23,maio,893,3,-1,0,desconhecido,sim
33,engravatado,casado,secundário,não,1464,sim,não,desconhecido,23,maio,588,3,-1,0,desconhecido,sim
44,gerente,divorciado,terciário,não,5773,não,no,desconhecido,23,maio,597,6,-1,0,desconhecido,sim
40,engravatado,casado,primário,não,278,sim,não,desconhecido,23,maio,1015,3,-1,0,desconhecido,sim
31,engravatado,casado,secundário,não,2910,sim,não,desconhecido,23,maio,1392,2,-1,0,desconhecido,sim
30,técnico,casado,terciário,não,541,sim,não,desconhecido,26,maio,414,2,-1,0,desconhecido,sim
44,técnico,divorciado,secundário,não,1262,sim,não,desconhecido,26,maio,788,11,-1,0,desconhecido,sim
34,serviços,casado,secundário,não,-538,sim,não,desconhecido,26,maio,682,1,-1,0,desconhecido,sim
37,engravatado,casado,secundário,não,125,não,no,desconhecido,26,maio,679,2,-1,0,desconhecido,sim
28,empresario,solteiro,terciário,não,0,sim,não,desconhecido,26,maio,1560,2,-1,0,desconhecido,sim
32,administrador,solteiro,secundário,não,620,sim,não,desconhecido,26,maio,1234,3,-1,0,desconhecido,sim
37,engravatado,divorciado,secundário,não,316,sim,não,desconhecido,26,maio,642,2,-1,0,desconhecido,sim
34,gerente,casado,terciário,não,2287,sim,não,desconhecido,26,maio,895,4,-1,0,desconhecido,sim
38,administrador,divorciado,secundário,não,198,sim,não,desconhecido,26,maio,431,2,-1,0,desconhecido,sim
28,administrador,solteiro,secundário,não,460,sim,não,desconhecido,26,maio,741,6,-1,0,desconhecido,sim
31,gerente,divorciado,terciário,não,1145,sim,não,desconhecido,26,maio,1272,4,-1,0,desconhecido,sim
59,serviços,casado,secundário,não,-22,sim,não,desconhecido,26,maio,748,3,-1,0,desconhecido,sim
24,engravatado,casado,secundário,não,685,sim,não,desconhecido,26,maio,896,3,-1,0,desconhecido,sim
26,serviços,solteiro,secundário,não,901,sim,não,desconhecido,26,maio,764,2,-1,0,desconhecido,sim
59,aposentado,solteiro,secundário,não,351,sim,não,desconhecido,27,maio,1063,5,-1,0,desconhecido,sim
30,empreendedor,solteiro,primário,não,0,sim,sim,desconhecido,27,maio,1051,1,-1,0,desconhecido,sim
37,administrador,casado,secundário,não,274,sim,não,desconhecido,27,maio,731,3,-1,0,desconhecido,sim
30,administrador,solteiro,secundário,não,-213,sim,sim,desconhecido,27,maio,751,1,-1,0,desconhecido,sim
25,engravatado,casado,secundário,não,97,sim,não,desconhecido,27,maio,709,1,-1,0,desconhecido,sim
44,serviços,divorciado,secundário,não,51,sim,sim,desconhecido,27,maio,3094,2,-1,0,desconhecido,sim
29,gerente,casado,terciário,não,314,não,no,desconhecido,28,maio,938,2,-1,0,desconhecido,sim
26,gerente,solteiro,terciário,não,6840,sim,não,desconhecido,28,maio,1560,2,-1,0,desconhecido,sim
26,técnico,solteiro,secundário,não,668,sim,não,desconhecido,28,maio,576,3,-1,0,desconhecido,sim
27,serviços,solteiro,secundário,não,54,sim,não,desconhecido,28,maio,543,2,-1,0,desconhecido,sim
25,empresario,solteiro,secundário,não,1242,sim,não,desconhecido,28,maio,615,2,-1,0,desconhecido,sim
28,gerente,casado,secundário,não,292,sim,não,desconhecido,28,maio,507,1,-1,0,desconhecido,sim
23,serviços,solteiro,secundário,não,665,sim,não,desconhecido,28,maio,1183,1,-1,0,desconhecido,sim
34,gerente,solteiro,terciário,não,1058,sim,não,desconhecido,28,maio,864,2,-1,0,desconhecido,sim
28,student,solteiro,secundário,não,949,sim,não,desconhecido,28,maio,1730,1,-1,0,desconhecido,sim
51,empreendedor,casado,desconhecido,não,606,sim,não,desconhecido,28,maio,560,9,-1,0,desconhecido,sim
35,engravatado,casado,secundário,não,0,sim,sim,desconhecido,29,maio,543,1,-1,0,desconhecido,sim
35,administrador,casado,secundário,não,404,sim,não,desconhecido,29,maio,539,1,-1,0,desconhecido,sim
56,engravatado,casado,secundário,não,249,sim,não,desconhecido,29,maio,791,2,-1,0,desconhecido,sim
45,unemployed,divorciado,secundário,não,3354,sim,não,desconhecido,29,maio,746,1,-1,0,desconhecido,sim
60,engravatado,divorciado,secundário,não,0,sim,não,desconhecido,29,maio,1207,1,-1,0,desconhecido,sim
56,técnico,casado,secundário,não,589,sim,não,desconhecido,29,maio,535,2,-1,0,desconhecido,sim
27,gerente,solteiro,terciário,não,12956,sim,não,desconhecido,29,maio,789,3,-1,0,desconhecido,sim
30,administrador,casado,secundário,não,873,sim,não,desconhecido,29,maio,792,3,-1,0,desconhecido,sim
45,engravatado,divorciado,primário,não,594,sim,não,desconhecido,29,maio,833,2,-1,0,desconhecido,sim
29,engravatado,solteiro,secundário,não,-20,sim,não,desconhecido,29,maio,814,2,-1,0,desconhecido,sim
38,gerente,divorciado,terciário,não,4692,sim,não,desconhecido,29,maio,1363,2,-1,0,desconhecido,sim
30,engravatado,casado,secundário,não,486,sim,não,desconhecido,29,maio,1109,3,-1,0,desconhecido,sim
44,engravatado,solteiro,primário,não,1593,sim,não,desconhecido,29,maio,828,3,-1,0,desconhecido,sim
36,gerente,solteiro,terciário,não,7606,sim,não,desconhecido,30,maio,917,1,-1,0,desconhecido,sim
38,técnico,casado,secundário,não,226,sim,não,desconhecido,30,maio,762,3,-1,0,desconhecido,sim
36,engravatado,solteiro,secundário,não,366,sim,sim,desconhecido,30,maio,1133,2,-1,0,desconhecido,sim
37,gerente,divorciado,secundário,não,16,sim,não,desconhecido,30,maio,638,1,-1,0,desconhecido,sim
35,gerente,solteiro,terciário,não,565,sim,não,desconhecido,30,maio,763,1,-1,0,desconhecido,sim
38,administrador,divorciado,secundário,não,19,sim,não,desconhecido,30,maio,604,2,-1,0,desconhecido,sim
40,serviços,casado,primário,não,1082,sim,não,desconhecido,30,maio,854,2,-1,0,desconhecido,sim
42,unemployed,divorciado,secundário,não,1713,sim,não,desconhecido,30,maio,855,2,-1,0,desconhecido,sim
46,gerente,divorciado,terciário,não,14481,sim,não,desconhecido,30,maio,1269,1,-1,0,desconhecido,sim
35,técnico,divorciado,secundário,não,5724,sim,não,desconhecido,30,maio,691,10,-1,0,desconhecido,sim
34,técnico,divorciado,secundário,não,1451,sim,não,desconhecido,30,maio,1097,15,-1,0,desconhecido,sim
32,serviços,casado,secundário,não,-34,sim,não,desconhecido,30,maio,1236,2,-1,0,desconhecido,sim
50,unemployed,casado,secundário,não,3674,sim,não,desconhecido,30,maio,886,3,-1,0,desconhecido,sim
35,engravatado,casado,secundário,não,698,sim,sim,desconhecido,30,maio,1343,3,-1,0,desconhecido,sim
36,técnico,solteiro,secundário,não,4136,sim,não,desconhecido,30,maio,812,3,-1,0,desconhecido,sim
53,engravatado,divorciado,primário,não,2656,sim,não,desconhecido,30,maio,1980,2,-1,0,desconhecido,sim
46,gerente,solteiro,terciário,não,2904,sim,não,desconhecido,30,maio,984,2,-1,0,desconhecido,sim
26,gerente,solteiro,terciário,não,1004,sim,não,desconhecido,30,maio,228,2,-1,0,desconhecido,sim
45,técnico,solteiro,secundário,não,410,sim,não,desconhecido,30,maio,891,4,-1,0,desconhecido,sim
31,unemployed,divorciado,primário,não,0,sim,não,desconhecido,30,maio,745,12,-1,0,desconhecido,sim
29,gerente,solteiro,terciário,não,0,sim,não,desconhecido,30,maio,539,12,-1,0,desconhecido,sim
53,empreendedor,solteiro,secundário,não,62,sim,não,desconhecido,30,maio,1044,5,-1,0,desconhecido,sim
27,engravatado,casado,primário,não,416,sim,não,desconhecido,30,maio,1193,2,-1,0,desconhecido,sim
39,gerente,casado,terciário,não,2763,sim,não,desconhecido,2,jun,526,2,-1,0,desconhecido,sim
36,serviços,casado,secundário,não,2984,sim,não,desconhecido,2,jun,394,1,-1,0,desconhecido,sim
41,engravatado,casado,primário,não,143,sim,sim,desconhecido,2,jun,659,2,-1,0,desconhecido,sim
36,serviços,casado,primário,não,0,sim,não,desconhecido,2,jun,1036,1,-1,0,desconhecido,sim
32,técnico,casado,secundário,não,696,sim,não,desconhecido,2,jun,815,1,-1,0,desconhecido,sim
35,serviços,casado,secundário,não,152,sim,não,desconhecido,2,jun,563,1,-1,0,desconhecido,sim
36,gerente,solteiro,terciário,não,-78,sim,não,desconhecido,2,jun,1068,1,-1,0,desconhecido,sim
35,gerente,casado,terciário,não,867,sim,não,desconhecido,2,jun,230,3,-1,0,desconhecido,sim
30,engravatado,solteiro,secundário,não,953,sim,não,desconhecido,2,jun,747,2,-1,0,desconhecido,sim
42,engravatado,casado,secundário,não,443,sim,não,desconhecido,2,jun,671,5,-1,0,desconhecido,sim
42,técnico,solteiro,secundário,sim,-1129,sim,não,desconhecido,2,jun,555,5,-1,0,desconhecido,sim
32,engravatado,casado,primário,não,415,sim,não,desconhecido,2,jun,777,4,-1,0,desconhecido,sim
29,engravatado,solteiro,secundário,não,260,sim,não,desconhecido,2,jun,707,14,-1,0,desconhecido,sim
44,gerente,divorciado,terciário,sim,-411,sim,não,desconhecido,2,jun,432,4,-1,0,desconhecido,sim
32,técnico,solteiro,secundário,não,1279,sim,não,desconhecido,3,jun,1173,3,-1,0,desconhecido,sim
31,unemployed,casado,secundário,não,86,sim,sim,desconhecido,3,jun,963,2,-1,0,desconhecido,sim
40,empresario,casado,secundário,sim,-754,sim,sim,desconhecido,3,jun,941,3,-1,0,desconhecido,sim
43,empreendedor,casado,secundário,não,0,não,no,desconhecido,3,jun,1025,7,-1,0,desconhecido,sim
27,gerente,solteiro,secundário,não,178,sim,não,desconhecido,3,jun,732,2,-1,0,desconhecido,sim
37,serviços,solteiro,secundário,não,278,sim,não,desconhecido,3,jun,1045,3,-1,0,desconhecido,sim
23,serviços,solteiro,secundário,não,425,sim,não,desconhecido,3,jun,768,1,-1,0,desconhecido,sim
25,gerente,casado,primário,não,168,sim,não,desconhecido,3,jun,801,1,-1,0,desconhecido,sim
26,engravatado,solteiro,secundário,sim,-36,sim,não,desconhecido,3,jun,482,2,-1,0,desconhecido,sim
47,engravatado,divorciado,primário,não,126,sim,não,desconhecido,3,jun,2456,2,-1,0,desconhecido,sim
35,administrador,casado,secundário,não,-87,sim,não,desconhecido,3,jun,1363,7,-1,0,desconhecido,sim
32,técnico,solteiro,terciário,não,6281,sim,não,desconhecido,3,jun,1336,4,-1,0,desconhecido,sim
45,gerente,divorciado,secundário,não,644,sim,não,desconhecido,4,jun,633,1,-1,0,desconhecido,sim
30,administrador,divorciado,secundário,não,377,sim,não,desconhecido,4,jun,524,15,-1,0,desconhecido,sim
29,serviços,solteiro,secundário,não,-271,sim,não,desconhecido,4,jun,578,1,-1,0,desconhecido,sim
38,engravatado,casado,primário,não,5839,sim,não,desconhecido,4,jun,984,2,-1,0,desconhecido,sim
23,engravatado,solteiro,secundário,não,492,sim,não,desconhecido,4,jun,638,1,-1,0,desconhecido,sim
27,gerente,solteiro,terciário,não,99,sim,não,desconhecido,4,jun,767,2,-1,0,desconhecido,sim
27,gerente,solteiro,terciário,sim,-713,sim,não,desconhecido,4,jun,525,2,-1,0,desconhecido,sim
29,serviços,solteiro,secundário,não,32,sim,não,desconhecido,4,jun,563,1,-1,0,desconhecido,sim
30,empresario,casado,terciário,não,543,sim,sim,desconhecido,4,jun,1449,6,-1,0,desconhecido,sim
36,engravatado,casado,primário,não,403,sim,não,desconhecido,4,jun,920,1,-1,0,desconhecido,sim
35,administrador,divorciado,secundário,não,437,sim,não,desconhecido,4,jun,908,1,-1,0,desconhecido,sim
36,engravatado,casado,secundário,não,1772,não,no,desconhecido,5,jun,208,1,-1,0,desconhecido,sim
59,aposentado,divorciado,primário,não,-88,sim,não,desconhecido,5,jun,910,2,-1,0,desconhecido,sim
47,empreendedor,casado,secundário,não,0,não,no,desconhecido,5,jun,1446,1,-1,0,desconhecido,sim
58,empreendedor,casado,terciário,não,853,não,no,desconhecido,5,jun,1149,2,-1,0,desconhecido,sim
37,gerente,solteiro,terciário,não,240,não,no,desconhecido,5,jun,1123,1,-1,0,desconhecido,sim
46,administrador,solteiro,secundário,não,849,sim,não,desconhecido,5,jun,508,2,-1,0,desconhecido,sim
43,engravatado,solteiro,secundário,não,318,sim,não,desconhecido,5,jun,736,2,-1,0,desconhecido,sim
27,gerente,solteiro,terciário,não,703,sim,não,desconhecido,5,jun,590,3,-1,0,desconhecido,sim
38,serviços,divorciado,secundário,não,61,não,no,desconhecido,5,jun,636,1,-1,0,desconhecido,sim
53,housemaid,casado,primário,não,104,não,sim,desconhecido,5,jun,701,1,-1,0,desconhecido,sim
47,engravatado,casado,secundário,não,1996,não,no,desconhecido,5,jun,761,2,-1,0,desconhecido,sim
56,housemaid,divorciado,primário,sim,1238,não,no,desconhecido,5,jun,1558,1,-1,0,desconhecido,sim
41,housemaid,casado,secundário,não,879,não,no,desconhecido,5,jun,1053,2,-1,0,desconhecido,sim
29,empresario,casado,secundário,não,425,sim,não,desconhecido,5,jun,562,15,-1,0,desconhecido,sim
50,técnico,casado,secundário,não,416,sim,não,desconhecido,5,jun,494,5,-1,0,desconhecido,sim
45,engravatado,divorciado,primário,não,844,não,no,desconhecido,5,jun,1018,3,-1,0,desconhecido,sim
35,engravatado,casado,secundário,não,860,sim,não,desconhecido,5,jun,884,4,-1,0,desconhecido,sim
26,técnico,solteiro,secundário,não,639,sim,não,desconhecido,6,jun,709,5,-1,0,desconhecido,sim
26,administrador,casado,secundário,não,710,sim,sim,desconhecido,6,jun,1276,2,-1,0,desconhecido,sim
37,engravatado,casado,desconhecido,não,1508,não,sim,desconhecido,6,jun,381,2,-1,0,desconhecido,sim
30,administrador,solteiro,secundário,não,223,sim,não,desconhecido,6,jun,862,11,-1,0,desconhecido,sim
38,gerente,solteiro,terciário,não,619,sim,não,desconhecido,6,jun,460,4,-1,0,desconhecido,sim
37,serviços,divorciado,secundário,não,319,sim,não,desconhecido,6,jun,467,3,-1,0,desconhecido,sim
